title,acronym,dblp_url
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,https://dblp.uni-trier.de/db/conf/ACMace
"IEEE Conference on Computational Complexity",CCC,https://dblp.uni-trier.de/db/conf/coco/index.html
"Heterogeneity in Computing Workshop",HCW,https://dblp.uni-trier.de/db/conf/hcw/index.html
"IEEE Information Visualization Conference",IEEE InfoVis,https://dblp.uni-trier.de/db/conf/infovis/index.html
"IEEE International Symposium on Artificial Life",IEEE Alife,https://dblp.uni-trier.de/db/conf/ieeealife/index.html
"IEEE International Symposium on Wearable Computers",ISWC,https://dblp.uni-trier.de/db/conf/iswc/index.html
"Information Security Conference",ISC,https://dblp.uni-trier.de/db/conf/isw/index.html
"IEEE/WIC/ACM International Joint Conferences on Web Intelligence and Intelligent Agent Technology",WI-IAT,https://dblp.uni-trier.de/db/conf/iat/index.html
"International Conference on Graph Transformations",ICGT,https://dblp.uni-trier.de/db/conf/gg/index.html
"International Conference on Sequences and their Applications",SETA,https://dblp.uni-trier.de/db/conf/seta/index.html
"International Joint Conference on Automated Reasoning",IJCAR,https://dblp.uni-trier.de/db/conf/cade/index.html
"International FLINS Conference on Robotics and Artificial Intelligence (was International Fuzzy Logic and Intelligent technologies in Nuclear Science Conference)",FLINS,https://dblp.uni-trier.de/db/conf/icrai/index.html
"International Workshop on Coordination, Organizations, Institutions, Norms and Ethics for Governance of Multi-Agent Systems (Ethics added 2020)",COINE,https://dblp.uni-trier.de/db/conf/coin-ws/index.html
"International Workshop on Principles of Diagnosis",DX,https://dblp.uni-trier.de/db/conf/dx/index.html
"Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies)",PETS,https://dblp.uni-trier.de/db/conf/pet/index.html
"RSA Conference",RSA,https://dblp.uni-trier.de/db/conf/ctrsa/index.html
"Unix Symposium on Internet Technologies",USITS,https://dblp.uni-trier.de/db/conf/usits/index.html